UPG;POPULACAO
ABADIA;14981
AEROPORTO;9208
ALFREDO FREIRE;6742
AMOROSO COSTA;10887
BAIXA;113
BOA ESPERANÇA;3654
BOA VISTA;22671
BOUGAINVILLE;154
BURITI;3387
CAMPO VERDE;0
CAPELINHA DO BARREIRO;237
CENTRO;5074
CHÁCARAS PRAIA DO RIO CLARO;40
COSTA TELES;13898
DEA MARIA;24
DISTRITO INDUSTRIAL I;0
DISTRITO INDUSTRIAL II;6
DISTRITO INDUSTRIAL III;55
ESTADOS UNIDOS;17124
FABRICIO;16966
GRANDE HORIZONTE;11026
JOCHEY PARK;7909
LAGEADO;220
LEBLON;8370
LOURDES;10251
MARACANÃ;9315
MARAJÓ;8761
MERCÊS;11005
MORUMBI;17447
PARAÍSO;25314
PARQUE DAS AMÉRICAS;13392
PARQUE EMPRESARIAL;0
PARQUE TECNOLÓGICO;69
PEIRÓPOLIS;107
PONTE ALTA;1677
RECREIO DOS BANDEIRANTES;6037
RESIDENCIAL 2000;6311
RURAL - PARQUE DO CAFÉ;78
RURAL - SANTA FÉ;659
RURAL - SÃO BASÍLIO;413
SANTA CECÍLIA;6425
SANTA CLARA;5051
SANTA MARIA;12633
SÃO BENEDITO;10524
SÃO CRISTÓVÃO;5815
SÃO GERALDO;3950
SERRARIA;37
VALIM;12619
VILA REAL;146
